archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Elise/Jayce (PZ/SI),Gwen/Irelia (IO/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00889463281131215,0.00270830165729056
Elise/Kindred (PZ/SI),Kalista/Nocturne (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000921772844762049,0.0391040748061426
Katarina/Yasuo (IO/NX),Ryze (IO/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000760225026607876,0.0736563022654706
Elise/Kindred (PZ/SI),Gwen/Zed (IO/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000921772844762049,0.00282233541128174
Championless (PZ/SI),Annie/Katarina (NX/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00177702599969591,0.0143777558157215
Illaoi/Twisted Fate (BW/IO),Ekko/Jinx (PZ/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0131043788961533,0.00423825452333891
Evelynn/Lucian (DE/RU),Illaoi/Vayne (BW/DE),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00731716588110081,0.00129238254523339
Kalista/Nocturne (NX/SI),Illaoi/Vayne (BW/DE),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0391040748061426,0.00129238254523339
Kindred/Norra (BC/SI),Maokai/Nautilus (BW/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0036775885662156,0.00923673407328569
Kalista/Nocturne (SI),Garen/Kayle (DE/MT),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0142637220617303,0.0067374942983123
Lucian/Norra (BC/DE),Norra/Veigar (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000741219400942679,0.0203075110232629
Taliyah/Ziggs (BC/SH),Lissandra/Taliyah (FR/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0173521362323248,0.00444731640565608
Bard/Kayle (RU/MT),Kalista/Nocturne (SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000750722213775278,0.0142637220617303
Gwen/Nocturne (SI/SH),Annie/Ezreal (NX/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000541660331458112,0.0246312908620952
Ashe/LeBlanc (FR/NX),Jax/Ornn (FR/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00267979321879276,0.0265888703056105
Norra/Twisted Fate (BC/BW),Ekko/Jinx (PZ/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.016943515280523,0.00423825452333891
Trundle/Tryndamere (FR/SI),Gnar/Tristana (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0184449597080736,0.00262277634179717
Gwen/Nocturne (SI/SH),Taliyah/Ziggs (BC/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000541660331458112,0.0173521362323248
Kalista/Nocturne (SI/SH),Norra/Veigar (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00134939942222898,0.0203075110232629
Gnar/Norra (BC/NX),Malphite/Taliyah (MT/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0131708985859815,0.00227117226699103
Hecarim/Zed (IO/SI),Kayle/Zoe (MT/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00498897673711419,0.00556864831990269
Miss Fortune/Quinn (BW/DE),Ryze (IO/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000446632203132127,0.0736563022654706
Annie/Ezreal (NX/PZ),Aatrox/Kayn (RU/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0246312908620952,0.0042857685875019
Taliyah/Ziggs (BC/SH),Azir/Xerath (SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0173521362323248,0.00480842329329482
Ryze (IO/RU),Gnar/Sejuani (BC/FR),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0736563022654706,0.00079823627793827
Master Yi/Ryze (IO/RU),Trundle/Tryndamere (FR/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00477991485479702,0.0184449597080736
Teemo/Tristana (BC/SI),Ziggs/Zilean (BC/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0564372054128022,0.000570168769955907
Kindred/Nasus (SI/SH),Braum/Norra (BC/FR),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00434278546449749,0.00821043028736506
Annie/Katarina (NX/PZ),Master Yi/Ryze (IO/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0143777558157215,0.00477991485479702
Heimerdinger/Norra (BC/SI),Gwen/Katarina (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00750722213775277,0.0142162079975673
Xerath/Zilean (BC/SH),Teemo/Tristana (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000646191272616695,0.0564372054128022
Lissandra/Trundle (FR/IO),Kalista/Nocturne (SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00207161319750646,0.0142637220617303
Pyke/Rek'Sai (BW/SH),Lissandra/Trundle (FR/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.017038543408849,0.00156796411737874
Lissandra/Trundle (FR/SI),Annie/Jhin (RU/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00156796411737874,0.0190531397293599
Braum/Kayle (FR/MT),Teemo/Tristana (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000760225026607876,0.0564372054128022
Ryze (IO/RU),Trundle/Vi (FR/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0736563022654706,0.000418123764634332
Trundle/Tryndamere (FR/SI),Evelynn/Viego (RU/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0184449597080736,0.00145393036338756
Caitlyn/Teemo (BC/PZ),Akshan/Varus (SH/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00709860118595104,0.00433328265166489
Jax/Ornn (FR/RU),Xerath/Zilean (BC/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0265888703056105,0.000646191272616695
Gwen/Zed (IO/SI),Gwen/Katarina (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00282233541128174,0.0142162079975673
Tristana (BC/NX),Master Yi/Viktor (IO/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00400068420252395,0.0055306370685723
Aphelios/Seraphine (MT/PZ),Illaoi/Twisted Fate (BW/IO),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00206211038467386,0.0131043788961533
Trundle/Tryndamere (FR/SI),Jax/Varus (RU/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0184449597080736,0.000494146267295119
Elise/Jayce (PZ/SI),Anivia (FR/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00889463281131215,0.00511251330393797
Gwen/Lucian (DE/SI),Heimerdinger/Jayce (PZ/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00136840504789418,0.0243462064771172
Teemo/Tristana (BC/SI),Kalista/Lucian (DE/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0564372054128022,0.00109282347574882
Annie/Kindred (NX/SI),Gwen/Katarina (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000589174395621104,0.0142162079975673
Miss Fortune/Twisted Fate (BW/NX),Kalista/Viego (FR/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0326421620799757,0.000418123764634332
Gwen/Sejuani (FR/SI),Pyke/Rek'Sai (BW/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00271780447012316,0.017038543408849
Gnar/Norra (BC/NX),Kalista/Nocturne (SI/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0131708985859815,0.00134939942222898
Gnar/Norra (BC/NX),Tristana (BC/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0131708985859815,0.00400068420252395
Teemo/Tristana (BC/SI),Gnar/Jax (FR/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0564372054128022,0.00067469971111449
Fizz/Yuumi (BC/FR),Jax/Ornn (FR/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00265128478029497,0.0265888703056105
Jax/Ornn (FR/RU),Elise/Norra (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0265888703056105,0.00167249505853733
Garen/Jarvan IV (DE),Aurelion Sol/Shyvana (DE/MT),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0126577466930211,0.00173901474836552
Akshan/Varus (SH/RU),Elise/Jayce (PZ/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00433328265166489,0.00889463281131215
Master Yi/Ryze (IO/RU),Kayle/Zoe (MT/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00477991485479702,0.00556864831990269
Nasus/Thresh (SI/SH),Trundle/Tryndamere (FR/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00294587197810552,0.0184449597080736
Norra/Veigar (BC/SI),Nasus/Thresh (SI/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0203075110232629,0.00294587197810552
Azir/Irelia (IO/SH),Kayle/Zed (IO/MT),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00513151892960316,0.00826744716436065
Norra/Twisted Fate (BC/BW),Elise (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.016943515280523,0.00149194161471796
Bard/Norra (BC/RU),Gnar/Tristana (BC/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00172951193553292,0.0242226699102935
