mu_win,mu_n,ci,ok_ci,archetype_1,archetype_2,mu_wr,direction,mirror,playrate_1,playrate_2
0,2,(0.0% - 84.2%),FALSE,Illaoi/Twisted Fate (BW/IO),Kindred/Viego (NX/SI),0,NEG,No,0.038003456068058,0.00034560680579556
0,2,(0.0% - 84.2%),FALSE,Lissandra/Taliyah (FR/SH),Master Yi/Viktor (IO/PZ),0,NEG,No,0.00479861757277682,0.0132128140369533
0,2,(0.0% - 84.2%),FALSE,Illaoi/Master Yi (BW/IO),Elise/Nocturne (NX/SI),0,NEG,No,0.000598165625415393,0.00428020736408348
0,2,(0.0% - 84.2%),FALSE,Azir/Irelia (IO/SH),Annie/Kindred (NX/SI),0,NEG,No,0.00781603083876113,0.00164827861225575
0,2,(0.0% - 84.2%),FALSE,Galio (DE/FR),Hecarim/Zed (IO/SI),0,NEG,No,0.000784261597766848,0.0131330586202313
0,2,(0.0% - 84.2%),FALSE,Trundle (FR/PZ),Gwen/Irelia (IO/SI),0,NEG,No,0.00607470424032966,0.00257875847401303
0,2,(0.0% - 84.2%),FALSE,Lee Sin/Nami (BW/IO),Kayle/Zed (IO/MT),0,NEG,No,9.30479861757278e-05,0.0260002658513891
0,2,(0.0% - 84.2%),FALSE,Hecarim/Zed (IO/SI),Kalista/Lucian (DE/SI),0,NEG,No,0.0131330586202313,0.00493154326731357
0,2,(0.0% - 84.2%),FALSE,Evelynn/Lucian (DE/RU),Master Yi/Viktor (IO/PZ),0,NEG,No,0.00265851389073508,0.0132128140369533
0,2,(0.0% - 84.2%),FALSE,Master Yi/Viktor (IO/PZ),Aphelios/Zoe (IO/MT),0,NEG,No,0.0132128140369533,0.00034560680579556
0,2,(0.0% - 84.2%),FALSE,Nami/Seraphine (BW/PZ),Illaoi (BW/IO),0,NEG,No,0.00138242722318224,0.00283131729363286
0,2,(0.0% - 84.2%),FALSE,Master Yi/Viktor (IO/PZ),Nami/Seraphine (BW/PZ),0,NEG,No,0.0132128140369533,0.00138242722318224
0,2,(0.0% - 84.2%),FALSE,Norra/Veigar (BC/SI),Aurelion Sol/Shyvana (DE/MT),0,NEG,No,0.0108866143825601,0.00313704639106739
0,2,(0.0% - 84.2%),FALSE,Ezreal/Seraphine (BC/PZ),Kai'Sa (DE/SH),0,NEG,No,0.00275156187691081,0.00187425229296823
0,2,(0.0% - 84.2%),FALSE,Caitlyn/Teemo (BC/PZ),Viego (IO/SI),0,NEG,No,0.00586202312907085,0.000531702778147016
0,2,(0.0% - 84.2%),FALSE,Gwen/Irelia (IO/SI),Kalista/Lucian (DE/SI),0,NEG,No,0.00257875847401303,0.00493154326731357
0,2,(0.0% - 84.2%),FALSE,Gnar/Norra (BC/NX),Ezreal/Seraphine (PZ/SI),0,NEG,No,0.0129602552173335,0.0025920510434667
0,2,(0.0% - 84.2%),FALSE,Master Yi/Riven (IO/NX),Jax/Ornn (FR/RU),0,NEG,No,0.00017280340289778,0.0569586601089991
0,2,(0.0% - 84.2%),FALSE,Swain/Twisted Fate (BW/NX),Illaoi/Master Yi (BW/IO),0,NEG,No,0.0154858434135318,0.000598165625415393
0,2,(0.0% - 84.2%),FALSE,Gwen/Katarina (NX/SI),Draven/Jinx (NX/PZ),0,NEG,No,0.0341884886348531,0.000877309583942576
0,2,(0.0% - 84.2%),FALSE,Aphelios/Master Yi (IO/MT),Elise/Nocturne (NX/SI),0,NEG,No,0.00291107271035491,0.00428020736408348
0,2,(0.0% - 84.2%),FALSE,Aphelios/Leona (DE/MT),Kalista/Nocturne (NX/SI),0,NEG,No,0.000305729097434534,0.0154060879968098
0,2,(0.0% - 84.2%),FALSE,Draven/Jinx (NX/PZ),Trundle (FR/PZ),0,NEG,No,0.000877309583942576,0.00607470424032966
0,2,(0.0% - 84.2%),FALSE,Ezreal/Seraphine (PZ/SI),Master Yi/Ryze (IO/RU),0,NEG,No,0.0025920510434667,0.0112986840356241
0,2,(0.0% - 84.2%),FALSE,Illaoi/Master Yi (BW/IO),Ezreal/Seraphine (PZ/SI),0,NEG,No,0.000598165625415393,0.0025920510434667
0,2,(0.0% - 84.2%),FALSE,Akshan/Varus (SH/RU),Azir/Irelia (IO/SH),0,NEG,No,0.0075103017413266,0.00781603083876113
0,2,(0.0% - 84.2%),FALSE,Aurelion Sol/Tryndamere (FR/MT),Draven/Jinx (NX/PZ),0,NEG,No,0.000770969028313173,0.000877309583942576
0,2,(0.0% - 84.2%),FALSE,Rumble/Vayne (DE/NX),Draven/Jinx (NX/PZ),0,NEG,No,0.00639372590721787,0.000877309583942576
0,2,(0.0% - 84.2%),FALSE,Ezreal/Seraphine (PZ/SI),Viktor/Zoe (MT/PZ),0,NEG,No,0.0025920510434667,0.000332314236341885
0,2,(0.0% - 84.2%),FALSE,Viktor/Zoe (MT/PZ),Hecarim/Zed (IO/SI),0,NEG,No,0.000332314236341885,0.0131330586202313
0,2,(0.0% - 84.2%),FALSE,Maokai (PZ/SI),Trundle (FR/PZ),0,NEG,No,0.000704506181044796,0.00607470424032966
0,2,(0.0% - 84.2%),FALSE,Azir/Irelia (IO/SH),Illaoi (BW/IO),0,NEG,No,0.00781603083876113,0.00283131729363286
0,2,(0.0% - 84.2%),FALSE,Kayle/Tristana (BC/MT),Gwen/Katarina (NX/SI),0,NEG,No,0.000119633125083079,0.0341884886348531
0,2,(0.0% - 84.2%),FALSE,Ezreal/Seraphine (PZ/SI),Heimerdinger/Norra (BC/SI),0,NEG,No,0.0025920510434667,0.00615445965705171
0,2,(0.0% - 84.2%),FALSE,Trundle (FR/PZ),Heimerdinger/Norra (BC/SI),0,NEG,No,0.00607470424032966,0.00615445965705171
0,2,(0.0% - 84.2%),FALSE,Aphelios/Seraphine (MT/PZ),Annie/Twisted Fate (BW/NX),0,NEG,No,0.00239266250166157,0.00249900305729097
0,2,(0.0% - 84.2%),FALSE,Elise/Kalista (SI),Kalista/Nocturne (NX/SI),0,NEG,No,0.000186095972351456,0.0154060879968098
0,2,(0.0% - 84.2%),FALSE,Jax/Ornn (FR/RU),Aurelion Sol/Lissandra/Trundle (FR/MT),0,NEG,No,0.0569586601089991,0.00034560680579556
0,2,(0.0% - 84.2%),FALSE,Heimerdinger/Jayce (PZ/SI),Kalista/Nocturne (SI/SH),0,NEG,No,0.0139439053569055,0.000571580486508042
0,2,(0.0% - 84.2%),FALSE,Soraka/Tahm Kench (BW/MT),Caitlyn/Teemo (BC/PZ),0,NEG,No,0.00159510833444105,0.00586202312907085
0,2,(0.0% - 84.2%),FALSE,Jax/Tristana (BC/RU),Maokai/Nautilus (BW/SI),0,NEG,No,0.00127608666755284,0.010195400770969
0,2,(0.0% - 84.2%),FALSE,Kayle/Zed (IO/MT),Maokai (PZ/SI),0,NEG,No,0.0260002658513891,0.000704506181044796
