archetype_1,archetype_2,mu_win,mu_n,mu_wr
Championless (BC/IO),Jarvan IV/Shen (DE/IO),0,1,0
Mordekaiser/Viego (MT/SI),Championless (BC/IO),0,1,0
Darius/Morgana (MT/NX),Jarvan IV/Shen (DE/IO),0,1,0
Galio/Morgana (DE/MT),Jarvan IV/Shen (DE/IO),0,1,0
Pyke/Rek'Sai (BW/SH),Darius (FR/NX),0,1,0
Pyke/Rek'Sai (BW/SH),Teemo (BC/PZ),0,1,0
Teemo/Yuumi (BC/PZ),Norra/Teemo (RU/BC),0,1,0
Morgana/Riven (MT/NX),Elder Dragon (RU/MT),0,1,0
Janna/Nilah (BW/PZ),Jarvan IV/Shen (DE/IO),0,1,0
Norra/Teemo (RU/BC),Elder Dragon (RU/MT),0,1,0
Ekko/Jinx (PZ/SH),Mordekaiser/Sion (NX/SI),0,1,0
Mordekaiser/Senna/Viego (SI/SH),Mordekaiser/Senna (SI/SH),0,1,0
Darius (FR/NX),Mordekaiser/Senna/Viego (SI/SH),0,1,0
Championless (BC/IO),Nasus/Senna (SI/SH),0,1,0
Championless (BC/IO),Galio/Udyr (DE/FR),0,1,0
Championless (BC/IO),Leona (MT/NX),0,1,0
Aurelion Sol/Morgana (IO/MT),Senna/Veigar (BC/SI),0,1,0
Volibear (RU/FR),Fizz/Samira (BW/NX),0,1,0
Mordekaiser/Viego (NX/SI),Volibear (RU/FR),0,1,0
Akshan/Morgana (DE/SH),Volibear (RU/FR),0,1,0
Annie/Jhin (RU/NX),Karma/Senna (IO/SI),0,1,0
Gnar/LeBlanc (FR/NX),Garen/Jarvan IV (RU/DE),0,1,0
Garen/Jarvan IV (RU/DE),Gnar/Neeko (FR/RU),0,1,0
Jarvan IV/Neeko (DE/RU),Garen/Jarvan IV (RU/DE),0,1,0
Mordekaiser/Senna (NX/SI),Jinx (BC/PZ),0,1,0
Caitlyn/Teemo (BC/PZ),Jinx (BC/PZ),0,1,0
Ahri/Kennen (FR/IO),Jinx (BC/PZ),0,1,0
Jhin/Norra (BC/RU),Jinx (BC/PZ),0,1,0
Jarvan IV/Neeko (DE/RU),Jinx (BC/PZ),0,1,0
Darius/Morgana (MT/NX),Darius (BW/NX),0,1,0
Darius/Morgana (MT/NX),Garen/Jarvan IV (RU/DE),0,1,0
Gwen/Zed (IO/SI),Gnar (DE/FR),0,1,0
Galio/Jarvan IV (DE/FR),Jax/Ornn (FR/RU),0,1,0
Jax/Ornn (FR/RU),Ahri/Kennen (FR/IO),0,1,0
Ahri/Morgana (IO/MT),Jax/Ornn (FR/RU),0,1,0
Jax/Ornn (FR/RU),Garen/Jarvan IV (RU/DE),0,1,0
Teemo/Tristana (BC/NX),Garen/Jarvan IV (RU/DE),0,1,0
Ahri/Morgana (IO/MT),Garen/Jarvan IV (RU/DE),0,1,0
Elder Dragon/Gnar/Volibear (RU/FR),Gnar (DE/FR),0,1,0
Garen/Jarvan IV (RU/DE),Jarvan IV/Morgana (RU/DE),0,1,0
Garen/Jarvan IV (RU/DE),Jarvan IV/Shen (DE/IO),0,1,0
Elder Dragon/Volibear (RU/FR),Fizz/Yuumi (BC/MT),0,1,0
Maokai/Mordekaiser (BW/SI),Teemo/Yuumi (BC/MT),0,1,0
Jarvan IV/Shen (DE/IO),Teemo/Yuumi (BC/MT),0,1,0
Fizz/Yuumi (BC/MT),Aurelion Sol (FR/MT),0,1,0
Teemo/Tristana (BC/NX),Elder Dragon/Shyvana (RU/DE),0,1,0
Gwen/Zed (IO/SI),Teemo/Tristana (BC/NX),0,1,0
Gnar (DE/FR),Annie/Jhin (RU/NX),0,1,0
Aurelion Sol (FR/MT),Pyke/Rek'Sai (BW/SH),0,1,0
Mordekaiser/Morgana (MT/SI),Teemo/Tristana (BC/NX),0,1,0
Elder Dragon/Volibear (RU/FR),Teemo/Tristana (BC/NX),0,1,0
Teemo/Tristana (BC/NX),Jarvan IV/Shen (DE/IO),0,1,0
Darius/Gnar (FR/NX),Jarvan IV/Shen (DE/IO),0,1,0
Elder Dragon/Lissandra (RU/FR),Darius/Gnar (FR/NX),0,1,0
Jarvan IV/Shen (DE/IO),Aurelion Sol (FR/MT),0,1,0
Morgana/Riven (MT/NX),Gwen/Mordekaiser (RU/SI),0,1,0
Gwen/Mordekaiser (RU/SI),Jarvan IV/Shen (DE/IO),0,1,0
Gwen/Mordekaiser (RU/SI),Annie/Jhin (RU/NX),0,1,0
Akshan/Morgana (MT/SH),Mordekaiser/Sion (NX/SI),0,1,0
Mordekaiser/Sion (NX/SI),Gwen/Mordekaiser (RU/SI),0,1,0
Gwen/Mordekaiser (RU/SI),Jax/Ornn (FR/RU),0,1,0
Darius/Morgana (MT/NX),Gnar/Norra (RU/BC),0,1,0
Gwen/Mordekaiser (RU/SI),Mordekaiser/Seraphine (PZ/SI),0,1,0
Gwen/Lucian (DE/SI),Darius/Gnar (FR/NX),0,1,0
Gwen/Lucian (DE/SI),Gnar/LeBlanc (FR/NX),0,1,0
Darius/Morgana (MT/NX),Gwen/Mordekaiser (RU/SI),0,1,0
Jarvan IV/Shen (DE/IO),Mordekaiser/Viego (NX/SI),0,1,0
Garen (RU/DE),Mordekaiser/Seraphine (PZ/SI),0,1,0
Mordekaiser/Seraphine (PZ/SI),Jinx (BC/PZ),0,1,0
Mordekaiser (NX/SI),Darius/Gnar (FR/NX),0,1,0
