archetype_1,archetype_2,mu_win,mu_n,mu_wr
The Poro King (DE/RU),Fizz/Nami (BW/MT),0,1,0
Azir/Neeko (RU/SH),Garen/Neeko (DE/RU),0,1,0
Fizz/Nami (BW/MT),Karma/Norra (BC/IO),0,1,0
Fizz/Nami (BW/PZ),Championpile (RU/BW),0,1,0
Evelynn/Kayle (RU/MT),Fizz/Nami (BW/PZ),0,1,0
Karma (BW/IO),Evelynn/Kayle (RU/MT),0,1,0
Ekko (PZ/SH),Azir/Nasus (SI/SH),0,1,0
Evelynn/Teemo (RU/PZ),Gnar/Norra (BC/PZ),0,1,0
Bard/Norra (BC/RU),Evelynn/Lucian (DE/RU),0,1,0
Championpile (RU/BW),Azir/Nasus (SI/SH),0,1,0
Gnar/Norra (BC/NX),Senna/Sett (IO/SI),0,1,0
Bard/Norra (BC/RU),Gnar/Norra (BC/NX),0,1,0
Gnar/Norra (BC/BW),Gnar/Norra (BC/NX),0,1,0
Aurelion Sol/Leona (DE/MT),The Poro King (BW/RU),0,1,0
Aurelion Sol/Norra (BC/MT),Garen/Neeko (DE/RU),0,1,0
Jarvan IV/Sett/Shen (DE/IO),Garen/Neeko (DE/RU),0,1,0
Jinx/Samira (NX/PZ),Senna/Sett (IO/SI),0,1,0
Nasus (SI/SH),Senna/Sett (IO/SI),0,1,0
Norra/Teemo (BC/PZ),Azir/Neeko (RU/SH),0,1,0
Aatrox (RU/BW),Bard/Norra (BC/RU),0,1,0
Aurelion Sol/Yuumi (DE/MT),Aatrox (RU/BW),0,1,0
Ornn/Vayne (DE/FR),Aatrox (RU/BW),0,1,0
Ornn/Pantheon (FR/MT),Aatrox (RU/BW),0,1,0
Nidalee/Viego (SI/SH),Heimerdinger/Norra (BC/NX),0,1,0
Championpile (RU/BW),Bard/Norra (BC/RU),0,1,0
Akshan/Kayn (RU/SH),Karma/Sett (IO/PZ),0,1,0
Akshan/Sett (IO/SH),Jinx/Samira (NX/PZ),0,1,0
Neeko (FR/RU),Aatrox/Evelynn (RU/RU),0,1,0
Karma/Master Yi (IO/SI),Heimerdinger/Norra (BC/NX),0,1,0
Senna/Veigar (BC/SI),Ryze (IO/RU),0,1,0
Jarvan IV/Master Yi (DE/IO),Jinx/Samira (NX/PZ),0,1,0
Gwen/Ornn (FR/SI),Pyke/Rek'Sai (BW/SH),0,1,0
Garen/Kai'Sa (DE/SH),Illaoi (RU/BW),0,1,0
Maokai/Nautilus (BW/SI),Fizz/Yuumi (BC/NX),0,1,0
