playerDeck,opponentDeck,muWin,muGames,muWR
Ashe/Sejuani (FR/NX),Aurelion Sol/Shyvana/Zoe,16,21,0.761904761904762
Ashe/Sejuani (FR/NX),Azir/Irelia,14,63,0.222222222222222
Ashe/Sejuani (FR/NX),Draven/Ezreal,16,41,0.390243902439024
Ashe/Sejuani (FR/NX),Draven/Jinx,7,16,0.4375
Ashe/Sejuani (FR/NX),Lissandra/Taliyah,7,15,0.466666666666667
Ashe/Sejuani (FR/NX),Lissandra/Trundle (FR/SI),9,22,0.409090909090909
Ashe/Sejuani (FR/NX),Maokai/Nautilus,6,17,0.352941176470588
Ashe/Sejuani (FR/NX),Nasus/Thresh,17,42,0.404761904761905
Ashe/Sejuani (FR/NX),Renekton/Sejuani/Sivir,8,11,0.727272727272727
Ashe/Sejuani (FR/NX),Vi/Zoe,3,11,0.272727272727273
Ashe/Tahm Kench,Azir/Irelia,1,11,0.0909090909090909
Ashe/Thresh,Azir/Irelia,6,18,0.333333333333333
Ashe/Thresh,Draven/Ezreal,4,12,0.333333333333333
Ashe/Thresh,Nasus/Thresh,8,13,0.615384615384615
Aurelion Sol (DE/MT),Azir/Irelia,5,12,0.416666666666667
Aurelion Sol (DE/MT),Nasus/Thresh,4,15,0.266666666666667
Aurelion Sol/Diana/Zoe (MT/NX),Aurelion Sol/Shyvana/Zoe,4,16,0.25
Aurelion Sol/Diana/Zoe (MT/NX),Azir/Irelia,21,60,0.35
Aurelion Sol/Diana/Zoe (MT/NX),Draven/Ezreal,19,32,0.59375
Aurelion Sol/Diana/Zoe (MT/NX),Lissandra/Taliyah,2,11,0.181818181818182
Aurelion Sol/Diana/Zoe (MT/NX),Lissandra/Trundle (FR/SI),12,19,0.631578947368421
Aurelion Sol/Diana/Zoe (MT/NX),Maokai/Nautilus,2,14,0.142857142857143
Aurelion Sol/Diana/Zoe (MT/NX),Nasus/Thresh,22,39,0.564102564102564
Aurelion Sol/Diana/Zoe (MT/NX),Renekton/Sejuani/Sivir,7,15,0.466666666666667
Aurelion Sol/Diana/Zoe (MT/NX),Vi/Zoe,7,11,0.636363636363636
Aurelion Sol/Diana/Zoe (MT/SI),Azir/Irelia,3,11,0.272727272727273
Aurelion Sol/Garen,Azir/Irelia,5,12,0.416666666666667
Aurelion Sol/Garen,Nasus/Thresh,7,11,0.636363636363636
Aurelion Sol/Garen/Shyvana,Azir/Irelia,10,24,0.416666666666667
Aurelion Sol/Garen/Shyvana,Draven/Ezreal,7,18,0.388888888888889
Aurelion Sol/Garen/Shyvana,Nasus/Thresh,15,23,0.652173913043478
Aurelion Sol/Jarvan IV/Shyvana,Ashe/LeBlanc,6,19,0.315789473684211
Aurelion Sol/Jarvan IV/Shyvana,Aurelion Sol/Shyvana,8,11,0.727272727272727
Aurelion Sol/Jarvan IV/Shyvana,Aurelion Sol/Shyvana/Zoe,39,68,0.573529411764706
Aurelion Sol/Jarvan IV/Shyvana,Azir/Darius,8,22,0.363636363636364
