archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Norra/Veigar (BC/SI),Elise/Jayce (PZ/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0169998958658752,0.00341039258565032
Elise/Jayce (PZ/SI),Norra/Veigar (BC/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00341039258565032,0.0169998958658752
Norra/Viego (BC/SI),Ezreal/Seraphine (BC/PZ),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0116369884411122,0.00590961157971467
Ezreal/Seraphine (BC/PZ),Norra/Viego (BC/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00590961157971467,0.0116369884411122
Kalista/Nocturne (NX/SI),Elise/Jayce (PZ/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0313964386129335,0.00341039258565032
Elise/Jayce (PZ/SI),Kalista/Nocturne (NX/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00341039258565032,0.0313964386129335
Pyke/Rek'Sai (BW/SH),Hecarim/Zed (IO/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0220764344475685,0.00570134333020931
Hecarim/Zed (IO/SI),Pyke/Rek'Sai (BW/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00570134333020931,0.0220764344475685
Kalista/Nocturne (SI/SH),Gnar/Norra (BC/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00262938665000521,0.0160626887431011
Gnar/Norra (BC/NX),Kalista/Nocturne (SI/SH),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0160626887431011,0.00262938665000521
Heimerdinger/Jayce (PZ/SI),Kalista/Viego (FR/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.0151515151515152,0.000989274185150474
Kalista/Viego (FR/SI),Heimerdinger/Jayce (PZ/SI),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.000989274185150474,0.0151515151515152
Master Yi/Ryze (IO/RU),Ashe/LeBlanc (FR/NX),2,4,0.5,(6.8% - 93.2%),FALSE,TIE,No,0.00593564511090284,0.00338435905446215
